#From	To
A2P2R3	YMR084W
P53060	YGL250W
P53061	YGL249W
P53062	YGL247W
P53063	YGL246C
P53064	YGL244W
P53065	YGL243W
P53066	YGL242C
P53067	YGL241W
P53068	YGL240W
P53069	YGL239C
P53070	YGL236C
P53071	YGL235W
P53072	YGL232W
P53073	YGL231C
P53074	YGL230C
P53075	YGL228W
P53076	YGL227W
P53077	YGL226W
P53078	YGL224C
P53079	YGL223C
P53080	YGL222C
P53081	YGL221C
P53082	YGL220W
P53083	YGL219C
P53084	YGL218W
P53085	YGL217C
P53086	YGL216W
P53088	YGL211W
P53089	YGL204C
P53090	YGL202W
P53091	YGL201C
P53092	YGL199C
P53093	YGL198W
P53094	YGL197W
P53095	YGL196W
P53096	YGL194C
P53097	YGL193C
P53098	YGL188C
P53099	YGL186C
P53100	YGL185C
P53101	YGL184C
P53102	YGL183C
P53103	YGL182C
P53104	YGL180W
P53105	YGL177W
P53106	YGL165C
P53107	YGL164C
P53108	YGL161C
P53109	YGL160W
P53110	YGL159W
P53111	YGL157W
P53112	YGL153W
P53113	YGL152C
P53114	YGL151W
P53115	YGL150C
P53116	YGL149W
P53117	YGL146C
P53118	YGL144C
P53119	YGL141W
P53120	YGL140C
P53121	YGL139W
P53122	YGL138C
P53123	YGL136C
P53124	YGL134W
P53125	YGL133W
P53126	YGL132W
P53127	YGL131C
P53128	YGL125W
P53129	YGL124C
P53130	YGL121C
P53131	YGL120C
P53132	YGL118C
P53133	YGL117W
P53134	YGL114W
P53135	YGL113W
P53136	YGL111W
P53137	YGL110C
P53139	YGL108C
P53140	YGL107C
P53141	YGL106W
P53142	YGL104C
P53143	YGL102C
P53144	YGL101W
P53145	YGL099W
P53146	YGL098W
P53147	YGL096W
P53148	YGL093W
P53150	YGL090W
P53151	YGL088W
P53152	YGL087C
P53153	YGL085W
P53154	YGL084C
P53155	YGL082W
P53156	YGL081W
P53157	YGL080W
P53158	YGL079W
P53159	YGL075C
P53160	YGL074C
P53161	YGL072C
P53162	YGL069C
P53163	YGL068W
P53164	YGL067W
P53165	YGL066W
P53166	YGL064C
P53167	YGL063W
P53168	YGL061C
P53169	YGL060W
P53170	YGL059W
P53171	YGL057C
P53172	YGL056C
P53173	YGL054C
P53174	YGL053W
P53175	YGL052W
P53176	YGL051W
P53177	YGL050W
P53178	YGL047W
P53179	YGL045W
P53181	YGL042C
P53183	YGL039W
P53184	YGL037C
P53185	YGL036W
P53186	YGL034C
P53187	YGL033W
P53188	YGL029W
P53189	YGL028C
P53190	YGL024W
P53191	YGL023C
P53192	YGL020C
P53193	YGL018C
P53194	YGL007W
P53195	YGL005C
P53196	YGL004C
P53197	YGL003C
P53198	YGL002W
P53199	YGL001C
P53200	YGR001C
P53201	YGR002C
P53202	YGR003W
P53203	YGR004W
P53204	YGR010W
P53205	YGR011W
P53206	YGR012W
P53207	YGR013W
P53208	YGR015C
P53209	YGR016W
P53210	YGR017W
P53211	YGR018C
P53212	YGR021W
P53213	YGR022C
P53214	YGR023W
P53215	YGR024C
P53216	YGR025W
P53217	YGR026W
P53218	YGR030C
P53219	YGR031W
P53220	YGR033C
P53221	YGR034W
P53222	YGR035C
P53223	YGR036C
P53224	YGR038W
P53225	YGR039W
P53226	YGR041W
P53227	YGR042W
P53228	YGR043C
P53229	YGR045C
P53230	YGR046W
P53231	YGR050C
P53232	YGR051C
P53233	YGR052W
P53234	YGR053C
P53235	YGR054W
P53236	YGR056W
P53237	YGR057C
P53238	YGR058W
P53239	YGR062C
P53240	YGR064W
P53241	YGR065C
P53242	YGR066C
P53243	YGR067C
P53244	YGR068C
P53245	YGR069W
P53246	YGR071C
P53247	YGR073C
P53248	YGR077C
P53249	YGR079W
P53250	YGR080W
P53251	YGR081C
P53252	YGR086C
P53253	YGR089W
P53254	YGR090W
P53255	YGR093W
P53256	YGR095C
P53257	YGR096W
P53258	YGR100W
P53259	YGR101W
P53260	YGR102C
P53261	YGR103W
P53262	YGR106C
P53263	YGR107W
P53264	YGR110W
P53265	YGR111W
P53266	YGR112W
P53267	YGR113W
P53268	YGR114C
P53269	YGR115C
P53270	YGR117C
P53271	YGR120C
P53272	YGR122W
P53273	YGR125W
P53274	YGR126W
P53275	YGR127W
P53276	YGR128C
P53277	YGR129W
P53278	YGR130C
P53279	YGR131W
P53280	YGR134W
P53281	YGR136W
P53282	YGR137W
P53283	YGR138C
P53284	YGR139W
P53285	YGR141W
P53286	YGR142W
P53287	YGR151C
P53288	YGR160W
P53289	YGR161C
P53290	YGR163W
P53291	YGR164W
P53292	YGR165W
P53293	YGR168C
P53294	YGR169C
P53295	YGR173W
P53296	YGR177C
P53297	YGR178C
P53298	YGR179C
P53299	YGR181W
P53300	YGR182C
P53301	YGR189C
P53302	YGR190C
P53303	YGR211W
P53304	YGR212W
P53305	YGR215W
P53306	YGR216C
P53307	YGR219W
P53308	YGR228W
P53309	YGR241C
P53310	YGR242W
P53311	YGR243W
P53312	YGR244C
P53313	YGR245C
P53314	YGR247W
P53315	YGR248W
P53316	YGR250C
P53317	YGR251W
P53318	YGR255C
P53319	YGR256W
P53320	YGR257C
P53321	YGR259C
P53322	YGR260W
P53323	YGR262C
P53324	YGR263C
P53325	YGR265W
P53326	YGR266W
P53327	YGR271W
P53329	YGR273C
P53330	YGR275W
P53331	YGR276C
P53332	YGR277C
P53333	YGR278W
P53334	YGR279C
P53335	YGR280C
P53336	YGR283C
P53337	YGR284C
P53338	YGR288W
P53339	YGR290W
P53340	YGR291C
P53341	YGR292W
P53342	YGR293C
P53343	YGR294W
P53344	YGR295C
P53378	YLR212C
P53379	YDR144C
P53388	YPL265W
P53389	YNR055C
P53390	YPR138C
P53394	YPR003C
P53397	YML060W
P53427	YLR461W
P53437	YMR270C
P53438	YMR016C
P53507	YNL070W
P53538	YNL222W
P53540	YNL126W
P53541	YNL012W
P53549	YOR259C
P53550	YNL118C
P53551	YPL127C
P53552	YNL139C
P53583	YNL249C
P53584	YNL237W
P53598	YOR142W
P53599	YNR031C
P53600	YPL010W
P53604	YNR049C
P53615	YNL036W
P53616	YNL066W
P53617	YNL251C
P53622	YDL145C
P53628	YNR023W
P53629	YNR019W
P53630	YNR057C
P53631	YNR072W
P53632	YOL115W
P53633	YNL044W
P53685	YOL068C
P53686	YPL015C
P53687	YOR025W
P53688	YDR191W
P53691	YLR216C
P53717	YNR005C
P53718	YNR009W
P53719	YNR014W
P53720	YNR015W
P53721	YNR018W
P53723	YNR021W
P53724	YNR022C
P53725	YNR024W
P53726	YNR025C
P53727	YNR027W
P53728	YNR028W
P53729	YNR029C
P53730	YNR030W
P53731	YNR035C
P53732	YNR036C
P53733	YNR037C
P53734	YNR038W
P53735	YNR039C
P53736	YNR040W
P53737	YNR042W
P53738	YNR046W
P53739	YNR047W
P53740	YNR048W
P53741	YNR051C
P53742	YNR053C
P53743	YNR054C
P53744	YNR056C
P53745	YNR059W
P53746	YNR060W
P53747	YNR061C
P53748	YNR062C
P53749	YNR063W
P53750	YNR064C
P53751	YNR065C
P53752	YNR066C
P53753	YNR067C
P53754	YNR068C
P53755	YNR069C
P53756	YNR070W
P53757	YNR071C
P53758	YNR077C
P53759	YML080W
P53769	YLR323C
P53819	YNL339C
P53820	YNL338W
P53821	YNL337W
P53822	YNL336W
P53823	YNL334C
P53824	YNL333W
P53825	YNL324W
P53826	YNL319W
P53827	YNL303W
P53828	YNL296W
P53829	YNL288W
P53830	YNL286W
P53831	YNL285W
P53832	YNL283C
P53833	YNL282W
P53834	YNL281W
P53835	YNL279W
P53836	YNL278W
P53837	YNL276C
P53838	YNL275W
P53839	YNL274C
P53840	YNL273W
P53841	YNL269W
P53842	YNL266W
P53843	YNL265C
P53844	YNL264C
P53845	YNL263C
P53846	YNL260C
P53847	YNL258C
P53848	YNL256W
P53849	YNL255C
P53850	YNL254C
P53851	YNL253W
P53852	YNL247W
P53853	YNL246W
P53854	YNL245C
P53855	YNL242W
P53856	YNL235C
P53857	YNL234W
P53858	YNL233W
P53859	YNL232W
P53860	YNL231C
P53861	YNL230C
P53862	YNL228W
P53863	YNL227C
P53864	YNL226W
P53865	YNL225C
P53866	YNL224C
P53867	YNL223W
P53868	YNL219C
P53869	YNL211C
P53870	YNL193W
P53871	YNL191W
P53872	YNL190W
P53873	YNL187W
P53874	YNL186W
P53875	YNL185C
P53876	YNL184C
P53877	YNL182C
P53878	YNL181W
P53879	YNL180C
P53880	YNL179C
P53881	YNL177C
P53882	YNL176C
P53883	YNL175C
P53884	YNL174W
P53885	YNL173C
P53886	YNL172W
P53887	YNL171C
P53888	YNL170W
P53889	YNL168C
P53890	YNL166C
P53891	YNL165W
P53892	YNL164C
P53893	YNL163C
P53894	YNL161W
P53895	YNL159C
P53896	YNL158W
P53897	YNL157W
P53898	YNL156C
P53899	YNL155W
P53900	YNL153C
P53901	YNL152W
P53902	YNL150W
P53903	YNL149C
P53904	YNL148C
P53905	YNL147W
P53906	YNL146W
P53907	YNL144C
P53908	YNL143C
P53909	YNL141W
P53910	YNL140C
P53911	YNL136W
P53912	YNL134C
P53913	YNL133C
P53914	YNL132W
P53915	YNL129W
P53916	YNL128W
P53917	YNL127W
P53918	YNL125C
P53919	YNL124W
P53920	YNL123W
P53921	YNL122C
P53922	YNL120C
P53923	YNL119W
P53924	YNL116W
P53925	YNL115C
P53926	YNL114C
P53927	YNL110C
P53928	YNL109W
P53929	YNL108C
P53930	YNL107W
P53932	YNL095C
P53933	YNL094W
P53934	YNL092W
P53935	YNL091W
P53936	YNL089C
P53937	YNL081C
P53938	YNL080C
P53939	YNL078W
P53940	YNL077W
P53941	YNL075W
P53942	YNL072W
P53943	YNL065W
P53944	YNL063W
P53946	YNL059C
P53947	YNL058C
P53948	YNL057W
P53949	YNL056W
P53950	YNL054W
P53951	YNL051W
P53952	YNL050C
P53953	YNL049C
P53954	YNL048W
P53955	YNL047C
P53956	YNL046W
P53957	YNL043C
P53958	YNL042W
P53959	YNL041C
P53960	YNL040W
P53961	YNL038W
P53962	YNL035C
P53963	YNL034W
P53964	YNL033W
P53965	YNL032W
P53966	YNL029C
P53967	YNL028W
P53968	YNL027W
P53969	YNL026W
P53970	YNL024C
P53971	YNL023C
P53972	YNL022C
P53973	YNL021W
P53974	YNL020C
P53975	YNL019C
P53976	YNL018C
P53977	YNL017C
P53978	YNL014W
P53979	YNL013C
P53980	YNL011C
P53981	YNL010W
P53982	YNL009W
P53983	YNL008C
P54000	YMR039C
P54003	YML052W
P54005	YMR316W
P54007	YLR460C
P54070	YPL053C
P54072	YLR152C
P54074	YMR119W
P54113	YLR028C
P54114	YMR169C
P54115	YPL061W
P54199	YDL028C
P54730	YMR067C
P54780	YMR121C
P54781	YMR015C
P54783	YML086C
P54784	YML065W
P54785	YMR070W
P54786	YML109W
P54787	YML097C
P54790	YLL004W
P54791	YPR162C
P54837	YML012W
P54838	YML070W
P54839	YML126C
P54854	YDL245C
P54857	YDR058C
P54858	YDR068W
P54860	YDL190C
P54861	YLL001W
P54862	YOL156W
P54867	YOR008C
P54885	YOR323C
P54964	YLR059C
P54999	YPR182W
P56508	YDR525W-A
P56628	YFL034C-A
P57743	YLR438C-A
P57744	YJR135W-A
P60010	YFL039C
P61829	Q0130
P61830	YBR010W
P61830	YNL031C
P62651	YPL096C-A
P69771	YKR035W-A
P69850	YBR233W-A
P69851	YDR320C-A
P69852	YKL138C-A
P80210	YNL220W
P80235	YAR035W
P80428	YJL081C
P80667	YLR191W
P80967	YPR133W-A
P81449	YDR322C-A
P81450	YML081C-A
P81451	YOL077W-A
P85052	YER014C-A
P87012	YCL001W-A
P87108	YHR005C-A
P87191	YER119C-A
P87261	YDR537C
P87262	YER056C-A
P87263	YER066C-A
P87264	YDR467C
P87266	YDR413C
P87267	YDR417C
P87268	YDR426C
P87269	YDR433W
P87270	YDR442W
P87271	YDR455C
P87272	YDR509W
P87273	YDR521W
P87274	YDR526C
P87275	YER093C-A
P87280	YDR290W
P87281	YDR269C
P87282	YDR271C
P87283	YDR274C
P87284	YDR276C
P87285	YDR355C
P87287	YDR366C
P87288	YDR327W
P89102	YDR166C
P89105	YOL145C
P89113	YOL052C-A
P89114	YHR079C-A
P89495	YBL109W
P89886	YER007C-A
P89888	YEL075W-A
P90471	YBR109W-A
Q00055	YDL022W
Q00245	YIL118W
Q00246	YKR055W
Q00362	YGL190C
Q00381	YJR058C
Q00402	YDR150W
Q00416	YLR430W
Q00453	YMR182C
Q00539	YHR086W
Q00578	YIL143C
Q00582	YML121W
Q00618	YJL031C
Q00684	YFR028C
Q00711	YKL148C
Q00723	YGR075C
Q00764	YBR126C
Q00772	YHR030C
Q00776	YPL259C
Q00816	YDR028C
Q00873	YKL087C
Q00916	YIL061C
Q00947	YDR463W
Q00955	YNR016C
Q01080	YNL248C
Q01159	YGL130W
Q01163	YGL129C
Q01217	YER069W
Q01329	YAL043C
Q01389	YJL095W
Q01448	YBR215W
Q01454	YPR135W
Q01476	YOR124C
Q01477	YER151C
Q01519	YLR038C
Q01560	YDR432W
Q01574	YAL054C
Q01589	YDR077W
Q01590	YLR026C
Q01649	YMR198W
Q01662	YLR244C
Q01684	YER115C
Q01722	YNL199C
Q01766	YPR005C
Q01802	YKL106W
Q01846	YML104C
Q01852	YIL022W
Q01855	YOL040C
Q01896	YDR039C
Q01919	YOR233W
Q01926	YOR334W
Q01939	YGL048C
Q01976	YBR111C
Q02046	YKR080W
Q02100	YNL167C
Q02159	YMR022W
Q02196	YKL001C
Q02197	YEL053C
Q02199	YGL172W
Q02201	YKR003W
Q02202	YKR004C
Q02203	YKR005C
Q02204	YKR006C
Q02205	YKR007W
Q02206	YKR008W
Q02207	YKR009C
Q02208	YKR010C
Q02209	YKR011C
Q02217	YEL034C-A
Q02256	YIR026C
Q02260	YGR074W
Q02326	YML073C
Q02336	YDR448W
Q02354	YDR449C
Q02455	YKR095W
Q02457	YPL128C
Q02486	YMR072W
Q02516	YOR358W
Q02521	YOR148C
Q02554	YMR240C
Q02555	YMR239C
Q02574	YLR288C
Q02590	YER091C-A
Q02598	YIL014C-A
Q02606	YPL014W
Q02608	YPL013C
Q02629	YKL068W
Q02630	YMR047C
Q02642	YPL037C
Q02647	YDR424C
Q02648	YPL030W
Q02651	YPL027W
Q02659	YPL025C
Q02685	YPL024W
Q02710	YPL021W
Q02721	YLR329W
Q02724	YPL020C
Q02725	YPL019C
Q02732	YPL018W
Q02733	YPL017C
Q02749	YPL068C
Q02753	YBR191W
Q02754	YPL067C
Q02767	YPL065W
Q02770	YPL064C
Q02771	YER058W
Q02772	YJR034W
Q02773	YML091C
Q02774	YDL212W
Q02775	YDR088C
Q02776	YPL063W
Q02781	YPL062W
Q02783	YPL060W
Q02784	YPL059W
Q02785	YPL058C
Q02786	YPL056C
Q02792	YOR048C
Q02793	YGL213C
Q02794	YOR047C
Q02795	YMR149W
Q02796	YPL055C
Q02799	YPL054W
Q02803	YPL052W
Q02804	YPL051W
Q02805	YOR018W
Q02820	YJL205C
Q02821	YNL189W
Q02825	YPL083C
Q02826	YPL080C
Q02831	YPL077C
Q02863	YPL072W
Q02864	YPL071C
Q02866	YPL070W
Q02872	YPL108W
Q02873	YPL107W
Q02875	YPL105C
Q02883	YPL103C
Q02884	YPL101W
Q02887	YPL100W
Q02888	YPL099C
Q02889	YPL098C
Q02890	YPL096W
Q02891	YPL095C
Q02892	YPL093W
Q02895	YPL088W
Q02896	YPL087W
Q02908	YPL086C
Q02931	YPL126W
Q02932	YPL125W
Q02933	YPL123C
Q02939	YPL122C
Q02948	YPL120W
Q02950	YPL118W
Q02959	YPL116W
Q02961	YPL113C
Q02969	YPL112C
Q02979	YPL110C
Q02981	YPL109C
Q02983	YLR141W
Q03002	YPL141C
Q03010	YPL139C
Q03012	YPL138C
Q03016	YPL137C
Q03018	YGR098C
Q03020	YPL135W
Q03028	YPL134C
Q03029	YPL130W
Q03034	YDR539W
Q03036	YDR540C
Q03048	YLL050C
Q03049	YDR541C
Q03050	YDR542W
Q03051	YDR543C
Q03057	YDR544C
Q03063	YPL049C
Q03067	YPL047W
Q03071	YPL046C
Q03079	YPL041C
Q03080	YPL039W
Q03081	YPL038W
Q03083	YPL034W
Q03085	YPL033C
Q03088	YPL032C
Q03096	YIL009C-A
Q03099	YML133C
Q03102	YML131W
Q03103	YML130C
Q03104	YML128C
Q03124	YML127W
Q03125	YDR043C
Q03144	YMR095C
Q03148	YMR096W
Q03151	YMR097C
Q03153	YMR098C
Q03161	YMR099C
Q03162	YMR100W
Q03175	YMR101C
Q03177	YMR102C
Q03178	YKL164C
Q03180	YKL163W
Q03186	YFL012W-A
Q03187	YFL013W-A
Q03193	YDR090C
Q03195	YDR091C
Q03201	YDR041W
Q03205	YDR042C
Q03207	YML122C
Q03208	YML119W
Q03210	YML118W
Q03212	YMR171C
Q03213	YMR172W
Q03214	YMR176W
Q03218	YMR177W
Q03219	YMR178W
Q03220	YMR180C
Q03231	YMR181C
Q03233	YMR184W
Q03236	YMR187C
Q03246	YMR188C
Q03254	YMR277W
Q03262	YMR278W
Q03263	YMR279C
Q03264	YMR285C
Q03266	YMR289W
Q03280	YDR457W
Q03281	YDR458C
Q03289	YDR459C
Q03290	YDR460W
Q03305	YDR465C
Q03306	YDR466W
Q03308	YPL045W
Q03322	YDR468C
Q03323	YDR469W
Q03327	YDR470C
Q03330	YGR252W
Q03337	YDR472W
Q03338	YDR473C
Q03361	YDR475C
Q03362	YDR476C
Q03370	YDR479C
Q03373	YDR480W
Q03375	YDR482C
Q03388	YDR485C
Q03390	YDR486C
Q03406	YDR489W
Q03407	YDR490C
Q03418	YDR491C
Q03419	YDR492W
Q03429	YDR493W
Q03430	YDR494W
Q03433	YML041C
Q03434	YML039W
Q03435	YDL002C
Q03441	YDL001W
Q03446	YDR003W
Q03455	YDR205W
Q03465	YDL020C
Q03466	YDR206W
Q03480	YDR209C
Q03482	YDR210W
Q03483	YDR210W-A
Q03494	YDR210W-B
Q03496	YMR259C
Q03497	YHL007C
Q03503	YPR051W
Q03508	YMR265C
Q03516	YMR266W
Q03525	YMR269W
Q03529	YMR272C
Q03530	YMR274C
Q03532	YMR290C
Q03533	YMR291W
Q03554	YMR292W
Q03557	YMR293C
Q03558	YHR179W
Q03559	YMR295C
Q03579	YMR298W
Q03612	YER138C
Q03619	YER160C
Q03629	YML079W
Q03630	YML077W
Q03631	YML076C
Q03640	YML072C
Q03648	YMR209C
Q03649	YMR210W
Q03652	YMR211W
Q03653	YMR212C
Q03654	YMR213W
Q03655	YMR215W
Q03656	YMR216C
Q03660	YMR218C
Q03661	YMR219W
Q03667	YMR002W
Q03673	YMR003W
Q03674	YMR006C
Q03675	YMR007W
Q03677	YMR009W
Q03687	YMR010W
Q03690	YMR012W
Q03691	YMR200W
Q03694	YMR204C
Q03695	YMR206W
Q03697	YML038C
Q03702	YKL011C
Q03703	YML037C
Q03705	YML036W
Q03707	YML034W
Q03713	YML030W
Q03714	YML029W
Q03718	YML023C
Q03722	YML020W
Q03723	YML019W
Q03730	YML018C
Q03735	YML117W
Q03750	YML114C
Q03758	YML111W
Q03759	YML108W
Q03760	YML107C
Q03761	YDR145W
Q03764	YDR147W
Q03768	YDR152W
Q03769	YDR153C
Q03770	YDR160W
Q03771	YDR161W
Q03772	YDR163W
Q03774	YDR165W
Q03776	YDR235W
Q03778	YDR236C
Q03780	YDR239C
Q03782	YDR240C
Q03783	YDR241W
Q03784	YDR246W
Q03785	YDR247W
Q03786	YDR248C
Q03787	YDR249C
Q03788	YDR250C
Q03790	YMR153W
Q03792	YMR154C
Q03795	YMR155W
Q03796	YMR156C
Q03798	YMR157C
Q03799	YMR158W
Q03818	YMR159C
Q03823	YMR160W
Q03824	YMR163C
Q03825	YMR164C
Q03829	YMR166C
Q03831	YDR095C
Q03833	YDR096W
Q03834	YDR097C
Q03835	YDR098C
Q03855	YDR098C-B
Q03856	YDR098C-A
Q03860	YDR100W
Q03862	YDR101C
Q03864	YDR102C
Q03868	YDR104C
Q03879	YMR122C
Q03880	YMR123W
Q03884	YIL100C-A
Q03885	YIR017W-A
Q03886	YIR020W-A
Q03888	YIR020C-B
Q03897	YDR128W
Q03898	YDR130C
Q03899	YDR131C
Q03900	YDR132C
Q03904	YDR133C
Q03913	YDR136C
Q03919	YDR139C
Q03920	YDR140W
Q03921	YDR141C
Q03935	YDR259C
Q03937	YDR014W-A
Q03940	YDR190C
Q03941	YDR196C
Q03942	YDR198C
Q03944	YDR200C
Q03954	YDR201W
Q03956	YDR202C
Q03957	YKL139W
Q03964	YDR170W-A
Q03973	YDR174W
Q03976	YDR175C
Q03981	YDR179C
Q03983	YDR179W-A
Q04002	YDR180W
Q04003	YDR181C
Q04004	YDR183W
Q04005	YDR184C
Q04006	YDR185C
Q04007	YDR186C
Q04013	YMR241W
Q04018	YMR244W
Q04019	YMR245W
Q04031	YDR412W
Q04033	YDR415C
Q04048	YDR416W
Q04049	YDR419W
Q04052	YDR421W
Q04053	YDR425W
Q04062	YDR427W
Q04066	YDR428C
Q04067	YDR429C
Q04069	YDR431W
Q04080	YDR434W
Q04081	YDR435C
Q04082	YDR437W
Q04083	YDR438W
Q04087	YDR439W
Q04089	YDR440W
Q04093	YDR444W
Q04100	YDR445C
Q04110	YDR446W
Q04116	YDR451C
Q04119	YDR452W
Q04120	YDR453C
Q04121	YDR456W
Q04149	YDR386W
Q04162	YDR387C
Q04170	YDR391C
Q04172	YDR393W
Q04174	YOR149C
Q04175	YDR395W
Q04177	YDR398W
Q04178	YDR399W
Q04179	YDR400W
Q04182	YDR406W
Q04183	YDR407C
Q04195	YDR409W
Q04199	YML102W
Q04201	YML101C
Q04203	YPR012W
Q04210	YMR040W
Q04212	YMR041C
Q04213	YMR044W
Q04214	YMR045C
Q04215	YMR046C
Q04216	YMR126C
Q04217	YMR128W
Q04223	YMR130W
Q04225	YMR131C
Q04226	YML015C
Q04228	YML013W
Q04231	YML011C
Q04233	YML006C
Q04235	YML005W
Q04264	YMR076C
Q04272	YMR077C
Q04276	YMR082C
Q04279	YMR086W
Q04299	YMR087W
Q04301	YMR088C
Q04304	YMR090W
Q04305	YMR093W
Q04307	YDR045C
Q04311	YDR049W
Q04322	YMR192W
Q04329	YMR195W
Q04336	YMR196W
Q04338	YMR197C
Q04341	YDR031W
Q04344	YDL125C
Q04347	YMR014W
Q04359	YMR017W
Q04364	YMR018W
Q04368	YMR025W
Q04370	YMR026C
Q04371	YMR027W
Q04372	YMR028W
Q04373	YDR496C
Q04377	YDR499W
Q04383	YDR501W
Q04396	YDR503C
Q04398	YDR504C
Q04399	YDR506C
Q04401	YDR511W
Q04406	YDR512C
Q04408	YDR514C
Q04409	YDR516C
Q04410	YDR517W
Q04411	YDR520C
Q04412	YDR524C
Q04413	YDR525W
Q04418	YDR527W
Q04429	YDR528W
Q04430	YDR531W
Q04431	YDR532C
Q04432	YDR533C
Q04433	YDR534C
Q04434	YDR535C
Q04436	YMR103C
Q04437	YMR106C
Q04438	YMR107W
Q04439	YMR109W
Q04458	YMR110C
Q04461	YMR111C
Q04471	YMR114C
Q04472	YMR115W
Q04477	YMR117C
Q04487	YMR118C
Q04489	YML096W
Q04491	YLR208W
Q04493	YML094W
Q04500	YML093W
Q04501	YML090W
Q04502	YML089C
Q04511	YML088W
Q04516	YML087C
Q04521	YML084W
Q04526	YML083C
Q04533	YML082W
Q04545	YML081W
Q04549	YDR106W
Q04562	YDR107C
Q04585	YDR109C
Q04597	YDR114C
Q04598	YDR115W
Q04599	YDR116C
Q04600	YDR117C
Q04601	YDR118W
Q04602	YDR119W
Q04603	YDR121W
Q04608	YDR124W
Q04623	YDR125C
Q04629	YDR126W
Q04632	YML071C
Q04636	YML069W
Q04638	YML068W
Q04651	YML067C
Q04658	YML066C
Q04659	YMR048W
Q04660	YMR049C
Q04670	YMR050C
Q04673	YLR005W
Q04674	YMR057C
Q04675	YMR059W
Q04689	YML050W
Q04693	YML049C
Q04697	YML048W
Q04705	YML047C
Q04706	YML045W-A
Q04711	YML045W
Q04712	YML043C
Q04728	YMR062C
Q04734	YMR063W
Q04739	YER027C
Q04740	YMR234W
Q04746	YMR065W
Q04748	YMR066W
Q04749	YMR068W
Q04751	YMR069W
Q04767	YMR071C
Q04772	YMR073C
Q04773	YMR074C
Q04779	YMR075W
Q04781	YMR247C
Q04792	YMR250W
Q04806	YMR251W
Q04814	YMR252C
Q04835	YMR253C
Q04838	YMR254C
Q04839	YMR255W
Q04847	YMR258C
Q04867	YMR310C
Q04868	YMR312W
Q04869	YMR315W
Q04893	YMR317W
Q04894	YMR318C
Q04895	YIR028W
Q04897	YMR320W
Q04898	YMR321C
Q04902	YMR322C
Q04909	YMR324C
Q04921	YDR218C
Q04922	YDR219C
Q04923	YDR220C
Q04924	YDR221W
Q04925	YDR222W
Q04930	YDR223W
Q04934	YDR229W
Q04935	YDR231C
Q04947	YDR233C
Q04949	YMR299C
Q04951	YMR305C
Q04952	YMR306W
Q04958	YML059C
Q04964	YML058W
Q04969	YML055W
Q04978	YML053C
Q04991	YMR221C
Q05015	YMR222C
Q05016	YMR226C
Q05021	YMR227C
Q05022	YMR229C
Q05024	YMR233W
Q05027	YMR236W
Q05029	YMR237W
Q05031	YMR238W
Q05040	YMR029C
Q05043	YMR030W
Q05050	YMR031C
Q05080	YMR032W
Q05123	YMR033W
Q05131	YMR034C
Q05164	YOL155C
Q05166	YDL088C
Q05359	YAR002C-A
Q05451	YHR050W-A
Q05468	YDR333C
Q05471	YDR334W
Q05473	YDR336W
Q05497	YDR338C
Q05498	YDR339C
Q05503	YDR340W
Q05506	YDR341C
Q05510	YDR344C
Q05515	YDR346C
Q05518	YDR348C
Q05521	YDR284C
Q05530	YDR286C
Q05533	YDR287W
Q05541	YDR288W
Q05543	YDR289C
Q05549	YDR291W
Q05567	YDR294C
Q05568	YDR265W
Q05580	YDR266C
Q05583	YDR267C
Q05584	YDR272W
Q05610	YDR273W
Q05611	YDR275W
Q05612	YDR278C
Q05635	YDR279W
Q05636	YDR280W
Q05637	YDR281C
Q05648	YDR282C
Q05670	YMR232W
Q05672	YDL189W
Q05676	YEL059C-A
Q05775	YLR192C
Q05776	YLR193C
Q05777	YLR194C
Q05778	YLR199C
Q05779	YLR201C
Q05785	YLR206W
Q05787	YLR207W
Q05788	YLR209C
Q05789	YLR211C
Q05790	YLR213C
Q05791	YLR215C
Q05809	YLR218C
Q05812	YLR219W
Q05827	YMR251W-A
Q05854	YLR278C
Q05863	YLR281C
Q05867	YLR283W
Q05871	YLR284C
Q05874	YLR285W
Q05881	YLR287C
Q05892	YLR290C
Q05898	YLR296W
Q05899	YLR297W
Q05900	YLR298C
Q05902	YLR299W
Q05905	YLR301W
Q05911	YLR359W
Q05919	YLR360W
Q05924	YLR361C
Q05926	YLR364W
Q05930	YLR368W
Q05931	YLR369W
Q05933	YLR370C
Q05934	YLR373C
Q05937	YLR375W
Q05942	YLR221C
Q05946	YLR222C
Q05947	YLR224W
Q05948	YLR225C
Q05949	YLR226W
Q05955	YLR227C
Q05958	YLR228C
Q05979	YLR231C
Q05998	YLR237W
Q06001	YLR238W
Q06005	YLR239C
Q06010	YLR389C
Q06011	YLR390W
Q06032	YLR394W
Q06051	YLR400W
Q06053	YLR401C
Q06058	YLR404W
Q06063	YLR405W
Q06070	YLR407W
Q06071	YLR408C
Q06078	YLR409C
Q06089	YPR098C
Q06090	YPR100W
Q06091	YPR101W
Q06096	YPR105C
Q06098	YPR106W
Q06102	YPR107C
Q06103	YPR108W
Q06104	YPR109W
Q06106	YPR112C
Q06107	YPR114W
Q06108	YPR115W
Q06109	YPR116W
Q06116	YPR117W
Q06127	YLR334C
Q06132	YLR336C
Q06134	YLR341W
Q06135	YLR343W
Q06137	YLR345W
